case_id,所有提交平均分,所有提交中位数,所有提交众数,最终分数平均分,最终分数中位数,最终分数众数,做的人数,做对人数
2944,55.86206896551724,100.0,100.0,100.0,100.0,100,46,46
2964,47.32142857142857,50.0,0.0,97.36842105263158,100.0,100,38,37
2941,52.03255474452554,85.71,0.0,97.82608695652173,100.0,100,46,45
2951,46.51162790697674,20.0,0.0,97.77777777777777,100.0,100,45,44
2940,51.27272727272727,40.0,100.0,97.36842105263158,100.0,100,38,37
2962,47.31707317073171,40.0,0.0,96.0,100.0,100,40,38
2950,47.81065088757396,60.0,0.0,98.6046511627907,100.0,100,43,41
2960,33.04195804195804,0.0,0.0,100.0,100.0,100,41,41
2939,43.61290322580645,20.0,0.0,100.0,100.0,100,44,44
2938,62.5,100.0,100.0,100.0,100.0,100,47,47
2949,31.5477380952381,0.0,0.0,96.45382978723404,100.0,100.0,47,45
2937,92.0,100.0,100.0,98.72340425531915,100.0,100,47,46
2959,59.93350993377483,66.67,100.0,97.7275,100.0,100.0,44,41
2935,57.073170731707314,100.0,100.0,100.0,100.0,100,46,46
2912,78.84057971014492,100.0,100.0,97.91666666666667,100.0,100,48,47
2251,63.63636363636363,100.0,100.0,100.0,100.0,100,43,43
2328,63.275862068965516,80.0,100.0,100.0,100.0,100,43,43
2229,83.92875000000001,100.0,100.0,100.0,100.0,100,43,43
2327,59.94444444444444,80.0,100.0,97.72727272727273,100.0,100,44,43
2228,78.83619047619048,100.0,100.0,100.0,100.0,100,41,41
2249,71.52777777777777,100.0,100.0,100.0,100.0,100,40,40
2325,59.710144927536234,80.0,100.0,98.69565217391305,100.0,100,46,44
2248,70.88607594936708,100.0,100.0,100.0,100.0,100,41,41
2247,75.47945205479452,100.0,100.0,100.0,100.0,100,40,40
2225,66.20375,100.0,100.0,100.0,100.0,100,40,40
2323,70.37037037037037,100.0,100.0,99.54545454545455,100.0,100,44,43
2224,56.481203703703706,66.67,100.0,100.0,100.0,100,43,43
2246,78.57142857142857,100.0,100.0,100.0,100.0,100,41,41
2244,69.5945945945946,100.0,100.0,100.0,100.0,100,41,41
2222,64.95412844036697,80.0,100.0,97.61904761904762,100.0,100,42,41
2243,78.78757575757575,100.0,100.0,98.37390243902439,100.0,100.0,41,40
2320,55.79831932773109,60.0,100.0,100.0,100.0,100,40,40
2166,37.07692307692308,10.0,0.0,95.55555555555556,100.0,100,36,34
2242,84.65619047619047,100.0,100.0,100.0,100.0,100,44,44
2241,88.15789473684211,100.0,100.0,100.0,100.0,100,41,41
2163,53.40909090909091,75.0,100.0,100.0,100.0,100,43,43
2162,53.96851851851852,66.67,100.0,100.0,100.0,100,84,84
2317,78.85714285714286,100.0,100.0,100.0,100.0,100,41,41
2217,83.95055555555555,100.0,100.0,100.0,100.0,100,41,41
2216,66.04938271604938,100.0,100.0,98.73417721518987,100.0,100,79,78
2238,74.47921875,100.0,100.0,100.0,100.0,100,42,42
2335,75.53072625698324,100.0,100.0,99.5959595959596,100.0,100,99,98
2214,72.13970149253733,100.0,100.0,100.0,100.0,100,43,43
2334,65.06024096385542,100.0,100.0,99.44444444444444,100.0,100,45,44
2333,50.49586776859504,80.0,0.0,100.0,100.0,100,44,44
2376,65.5379746835443,80.0,100.0,98.57142857142857,100.0,100,42,39
2277,66.28571428571429,80.0,100.0,100.0,100.0,100,39,39
2319,59.00990099009901,80.0,100.0,100.0,100.0,100,43,43
2221,57.61296296296296,66.67,100.0,100.0,100.0,100,38,38
2254,56.470588235294116,60.0,100.0,96.08108108108108,100.0,100,74,69
2265,40.72164948453608,50.0,0.0,96.42857142857143,100.0,100,28,26
2232,46.029137931034484,40.905,0.0,99.02607142857143,100.0,100.0,28,27
2165,60.869565217391305,100.0,100.0,100.0,100.0,100,37,37
2264,34.87309644670051,10.0,0.0,98.06451612903226,100.0,100,31,29
2175,41.37931034482759,0.0,0.0,96.66666666666667,100.0,100,30,29
2337,43.31797235023041,30.0,0.0,93.61111111111111,100.0,100,36,33
