user_id,case_id,case_type,final_score,upload_id,code_url,upload_score,upload_time
48117,2086,图结构,100,317706,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E6%9C%80%E5%B0%8F%E7%94%9F%E6%88%90%E6%A0%91_1585650928026.zip,0.0,1585650928834
48117,2086,图结构,100,317709,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E6%9C%80%E5%B0%8F%E7%94%9F%E6%88%90%E6%A0%91_1585650936881.zip,33.33,1585650937675
48117,2086,图结构,100,317712,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E6%9C%80%E5%B0%8F%E7%94%9F%E6%88%90%E6%A0%91_1585650955112.zip,66.67,1585650955914
48117,2086,图结构,100,317714,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E6%9C%80%E5%B0%8F%E7%94%9F%E6%88%90%E6%A0%91_1585650976368.zip,100.0,1585650977125
48117,2087,图结构,100,317717,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%AD%90%E9%9B%86_1585651014734.zip,0.0,1585651015721
48117,2087,图结构,100,317718,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%AD%90%E9%9B%86_1585651023190.zip,45.45,1585651024178
48117,2087,图结构,100,317721,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%AD%90%E9%9B%86_1585651049283.zip,0.0,1585651050251
48117,2087,图结构,100,317724,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%AD%90%E9%9B%86_1585651067581.zip,45.45,1585651068564
48117,2087,图结构,100,317725,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%AD%90%E9%9B%86_1585651078184.zip,45.45,1585651079170
48117,2087,图结构,100,317728,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%AD%90%E9%9B%86_1585651092446.zip,54.55,1585651093407
48117,2087,图结构,100,317729,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%AD%90%E9%9B%86_1585651110048.zip,54.55,1585651110994
48117,2087,图结构,100,317731,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%AD%90%E9%9B%86_1585651115718.zip,45.45,1585651116734
48117,2087,图结构,100,317735,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%AD%90%E9%9B%86_1585651143613.zip,0.0,1585651144559
48117,2087,图结构,100,317737,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%AD%90%E9%9B%86_1585651167062.zip,9.09,1585651168004
48117,2087,图结构,100,317739,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%AD%90%E9%9B%86_1585651190028.zip,18.18,1585651190978
48117,2087,图结构,100,317742,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%AD%90%E9%9B%86_1585651207813.zip,27.27,1585651208754
48117,2087,图结构,100,317744,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%AD%90%E9%9B%86_1585651224797.zip,27.27,1585651225986
48117,2087,图结构,100,317746,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%AD%90%E9%9B%86_1585651238676.zip,36.36,1585651239711
48117,2087,图结构,100,317748,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%AD%90%E9%9B%86_1585651263407.zip,45.45,1585651264374
48117,2087,图结构,100,317752,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%AD%90%E9%9B%86_1585651290115.zip,54.55,1585651291064
48117,2087,图结构,100,317755,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%AD%90%E9%9B%86_1585651316325.zip,63.64,1585651317278
48117,2087,图结构,100,317757,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%AD%90%E9%9B%86_1585651335264.zip,72.73,1585651336248
48117,2087,图结构,100,317759,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%AD%90%E9%9B%86_1585651356938.zip,81.82,1585651357903
48117,2087,图结构,100,317763,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%AD%90%E9%9B%86_1585651377972.zip,90.91,1585651378953
48117,2087,图结构,100,317765,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%AD%90%E9%9B%86_1585651398972.zip,100.0,1585651399956
48117,2088,图结构,100,317771,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E9%BB%91%E6%9A%97%E5%89%8D%E7%9A%84%E5%B9%BB%E6%83%B3%E4%B9%A1_1585651459128.zip,0.0,1585651460121
48117,2088,图结构,100,317778,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E9%BB%91%E6%9A%97%E5%89%8D%E7%9A%84%E5%B9%BB%E6%83%B3%E4%B9%A1_1585651496165.zip,0.0,1585651497275
48117,2088,图结构,100,317784,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E9%BB%91%E6%9A%97%E5%89%8D%E7%9A%84%E5%B9%BB%E6%83%B3%E4%B9%A1_1585651520228.zip,10.0,1585651521222
48117,2088,图结构,100,317791,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E9%BB%91%E6%9A%97%E5%89%8D%E7%9A%84%E5%B9%BB%E6%83%B3%E4%B9%A1_1585651544189.zip,20.0,1585651545168
48117,2088,图结构,100,317802,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E9%BB%91%E6%9A%97%E5%89%8D%E7%9A%84%E5%B9%BB%E6%83%B3%E4%B9%A1_1585651595358.zip,20.0,1585651596835
